uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
WOI_FORRESTER_Overall,,Forrester_WOI_Overall,Forrester_WOI_Overall,Subaru:Forrester:Sales:Weekly_Order_Intake:Overall,0.45,812,628,622,659,757,775,771,488,563,569,540,636,904,904,1041,618,883,1151,548,
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-ConsumerPriceIndex,,ConsumerPriceIndex,ConsumerPriceIndex,External Data: Macro Economic,0.5,99.83333333,99.86666667,99.9,100.0666667,100.2333333,100.4,100.8666667,101.3333333,101.8,101.8,101.8,102,102,102,102.4,102.4,102.4,102.8,102.8,102.8
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-EarningsPerPerson,,EarningsPerPerson,EarningsPerPerson,External Data: Macro Economic,0.5,1040.133333,1045.166667,1050.2,1052.566667,1054.933333,1057.3,1057.3,1057.3,1057.3,1022.766667,1024.5,1028.033333,1031.566667,1035.1,1040.133333,1045.166667,1050.2,1052.566667,1054.933333,1057.3
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-EmploymenttoPopulationRatio,,EmploymenttoPopulationRatio,EmploymenttoPopulationRatio,External Data: Macro Economic,0.5,62,61.8,61.9,61.9,62,61.8,61.8,61.7,61.7,61.7153135,61.7180799,61.7250878,61.7254078,61.7155939,61.6864594,61.6344202,61.5572249,61.4633362,61.3659151,61.2693158
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-HourlyPayRate,,HourlyPayRate,HourlyPayRate,External Data: Macro Economic,0.5,110.8,111.1,111.4,111.6666667,111.9333333,112.2,112.6333333,113.0666667,113.5,113.5,113.5,114.3,114.3,114.3,115,115,115,115.5,115.5,115.5
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-IndexNumberManufacturer,,IndexNumberManufacturer,IndexNumberManufacturer,External Data: Macro Economic,0.5,100.2333333,99.46666667,98.7,98.73333333,98.76666667,98.8,98.76666667,98.73333333,98.7,98.3,98.56666667,98.83333333,99.1,99.9,100.7,101.5,101.3333333,101.1666667,101,100.2333333
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-IndexNumbercombined,,IndexNumbercombined,IndexNumbercombined,External Data: Macro Economic,0.5,99.86666667,99.93333333,100,100,100,100,100.0333333,100.0666667,100.1,98.6,98.83333333,99.06666667,99.3,99.56666667,99.83333333,100.1,100,99.9,99.8,99.86666667
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-Inflation,,Inflation,Inflation,External Data: Macro Economic,0.5,2.533333333,2.066666667,1.6,1.466666667,1.333333333,1.2,1.466666667,1.733333333,2,2,2,2.2,2.2,2.2,2.5,2.5,2.5,2.4,2.4,2.4
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-Inflation(periodwise),,Inflation(periodwise),Inflation(periodwise),External Data: Macro Economic,0.5,0.033333333,0.066666667,0.1,0.233333333,0.366666667,0.5,0.8,1.1,1.4,0.9,0.8,0.7,0.6,0.4,0.2,0,0.033333333,0.066666667,0.1,0.233333333
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-No:ofEmployed,,No ofEmployed,No ofEmployed,External Data: Macro Economic,0.5,11463.9,11446.8,11483.6,11495.6,11522.9,11493.6,11505.7,11497,11512.6,11553.02667,11570.49811,11589.70905,11608.53178,11625.83825,11639.20614,11647.33805,11649.68375,11648.2067,11645.84765,11643.22838
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-No:ofunEmployed,,No ofunEmployed,No ofunEmployed,External Data: Macro Economic,0.5,614.7,633.7,630.1,605.6,627.1,641.2,635.8,623.2,662,651.5888645,655.1722148,659.5076163,664.8050987,671.4786192,679.881321,688.9242195,696.0940164,701.3632191,705.0479879,707.4809252
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-UnemploymentRate,,UnemploymentRate,UnemploymentRate,External Data: Macro Economic,0.5,5.1,5.2,5.2,5,5.2,5.3,5.2,5.1,5.4,5.3388301,5.3589775,5.3840969,5.4166288,5.4602635,5.5188119,5.5845287,5.6383196,5.679236,5.7084662,5.7282638
MACRO_ECONOMICS_NA_NA_NA_Macro-Economics-unEmploymenttoPopulationRatio,,unEmploymenttoPopulationRatio,unEmploymenttoPopulationRatio,External Data: Macro Economic,0.5,2.4,2.4,2.4,2.3,2.3,2.4,2.5,2.5,2.6,2.5372257,2.5320566,2.52869,2.5401952,2.5723604,2.6196483,2.6679127,2.7032482,2.7232549,2.7299887,2.7300687
asx_open,,asx_open,asx_open,External Data: Financial Markets: Australia,0.5,30.03,29.26,30.25,30.58,32.42,32,34.42,36.58,37.16,29.5,29.53,29.45,31.21,35,36.48,36.19,37.7,37.2,33.1,34.75
asx_high,,asx_high,asx_high,External Data: Financial Markets: Australia,0.5,31,30.49,30.74,31.45,32.5,32.7,34.99,37.1,39.18,30.7,29.73,31.59,35.06,37.44,36.96,37.67,40,37.68,35.38,36.32
asx_low,,asx_low,asx_low,External Data: Financial Markets: Australia,0.5,29.01,27.52,25.83,29.68,29.44,30.64,31.91,33.91,36.05,29.39,28.71,29.44,31.21,34.96,34.88,35.86,37.2,32.06,32.94,34.33
